Vampire Nocturnus Avatar | {U} | 1 |  | 0
Highland Lake | {3}{U} | 4 |  | 0
Colossal Might | {1} | 1 |  | 0
Barbed Sextant | {B}{B}{B} | 3 |  | 0
Artificer's Epiphany | {4} | 4 |  | 0
Barbed Sextant | {2}{R}{R} | 4 |  | 0
Death Stroke | {U}{U} | 2 |  | 0
Origin Spellbomb | {1}{B} | 2 |  | 0
Planeswalker's Favor | {3}{G} | 4 |  | 0
Moonglove Extract | {W} | 1 |  | 0
Planeswalker's Favor | {X}{B} | 1 |  | 0
Planeswalker's Favor | {2} | 2 |  | 0
Artificer's Epiphany | {U}{U} | 2 |  | 0
Common Courtesy | {1} | 1 |  | 0
Lapse of Certainty | {4} | 4 |  | 0
Highland Lake | {W} | 1 |  | 0
Lapse of Certainty | {U}{U} | 2 |  | 0
Highland Lake | {R} | 1 |  | 0
Lapse of Certainty | {U}{U} | 2 |  | 0
Lapse of Certainty | {1}{W} | 2 |  | 0
Introductions Are in Order | {R} | 1 |  | 0
Planeswalker's Favor | {U}{U} | 2 |  | 0
Lapse of Certainty | {B} | 1 |  | 0
Swarmyard | {B} | 1 |  | 0
Lapse of Certainty | {2}{R}{R} | 4 |  | 0
Aggressive Mining | {X}{G} | 1 |  | 0
Swarmyard | {1}{B} | 2 |  | 0
Lapse of Certainty | {2} | 2 |  | 0
Introductions Are in Order | {1}{G}{G} | 3 |  | 0
Artificer's Epiphany | {3}{W}{W} | 5 |  | 0
Lapse of Certainty | {B}{B} | 2 |  | 0
Lapse of Certainty | {3}{U}{U} | 5 |  | 0
Halimar Depths | {B} | 1 |  | 0
Highland Lake | {R} | 1 |  | 0
Screams of the Damned | 1 | 1 |  | 0
Colossal Might | {B}{B} | 2 |  | 0
Highland Lake | {1}{U} | 2 |  | 0
Highland Lake | {U} | 1 |  | 0
Jhoira of the Ghitu Avatar | {1}{U}{U} | 3 |  | 0
Mighty Leap | {2}{W} | 3 |  | 0
Implement of Examination | {1}{W} | 2 |  | 0
Dance with Devils | {B} | 1 |  | 0
Gruul Turf | {1}{G} | 2 |  | 0
Implement of Examination | {1}{R} | 2 |  | 0
Heretic's Punishment | {2}{B} | 3 |  | 0
Lapse of Certainty | {6} | 6 |  | 0
Lapse of Certainty | {1}{B}{B} | 3 |  | 0
Planeswalker's Favor | {B}{R}{G} | 3 |  | 0
Jhoira of the Ghitu Avatar | {2}{R}{R}{R} | 5 |  | 0
Lapse of Certainty | {4}{R} | 5 |  | 0
Blackcleave Cliffs | {4} | 4 |  | 0
Planeswalker's Favor | {4} | 4 |  | 0
Jhoira of the Ghitu Avatar | {1}{B} | 2 |  | 0
Colossal Might | {G} | 1 |  | 0
Common Courtesy | {0} | 0 |  | 0
Vernal Equinox | {W} | 1 |  | 0
Lapse of Certainty | {1}{R}{R} | 3 |  | 0
Purgatory | {3}{U} | 4 |  | 0
Arcanis, the Omnipotent Avatar | {4}{W}{U} | 6 |  | 0
Phosphorescent Feast | {1}{R} | 2 |  | 0
Vernal Equinox | {W} | 1 |  | 0
Planeswalker's Favor | {3}{R}{R}{G} | 6 |  | 0
Lapse of Certainty | {3}{G}{G} | 5 |  | 0
Artificer's Epiphany | {4} | 4 |  | 0
Lapse of Certainty | {4} | 4 |  | 0
Lapse of Certainty | {2}{G}{G} | 4 |  | 0
Heretic's Punishment | {U} | 1 |  | 0
Lapse of Certainty | {3}{U}{B}{B} | 6 |  | 0
Lapse of Certainty | {2}{U}{U} | 4 |  | 0
Lapse of Certainty | {5} | 5 |  | 0
Artificer's Epiphany | 1 | 1 |  | 0
Artificer's Epiphany | {1}{W} | 2 |  | 0
Lapse of Certainty | {2}{R} | 3 |  | 0
Halimar Depths | {2}{B}{B} | 4 |  | 0
Lapse of Certainty | {3}{B}{B} | 5 |  | 0
Lapse of Certainty | {2}{U} | 3 |  | 0
Halimar Depths | {W} | 1 |  | 0
Barbed Sextant | {2}{U} | 3 |  | 0
Artificer's Epiphany | {2}{G} | 3 |  | 0
Fated Infatuation | {4} | 4 |  | 0
Lapse of Certainty | {3}{G} | 4 |  | 0
Common Courtesy | {W}{W} | 2 |  | 0
Colossal Might | {1}{R}{R} | 3 |  | 0
Artificer's Epiphany | {2}{R}{R} | 4 |  | 0
Lapse of Certainty | {3}{G} | 4 |  | 0
Mighty Leap | {2}{B}{B} | 4 |  | 0
Artificer's Epiphany | 1 | 1 |  | 0
Vampire Nocturnus Avatar | {1}{G}{G} | 3 |  | 0
Lapse of Certainty | {2} | 2 |  | 0
Voices from the Void | {3}{G}{G} | 5 |  | 0
Unfulfilled Desires | {2}{R} | 3 |  | 0
Artificer's Epiphany | {3}{B} | 4 |  | 0
Artificer's Epiphany | {0} | 0 |  | 0
Lapse of Certainty | {1}{W}{W} | 3 |  | 0
Lapse of Certainty | {B}{B} | 2 |  | 0
Jhoira of the Ghitu Avatar | {B} | 1 |  | 0
Lapse of Certainty | {5} | 5 |  | 0
Common Courtesy | 1 | 1 |  | 0
Artificer's Epiphany | 1 | 1 |  | 0
Forgotten Harvest | {1}{U} | 2 |  | 0
Artificer's Epiphany | {2}{W} | 3 |  | 0
Lapse of Certainty | {X}{1}{B} | 2 |  | 0
Underground River | {1}{B}{G} | 3 |  | 0
Planeswalker's Favor | {1}{G} | 2 |  | 0
Lapse of Certainty | {4}{W}{B} | 6 |  | 0
Artificer's Epiphany | {4}{W}{W} | 6 |  | 0
Lapse of Certainty | {2}{B}{G}{U} | 5 |  | 0
Artificer's Epiphany | {3}{W} | 4 |  | 0
Vampire Nocturnus Avatar | {4}{R} | 5 |  | 0
Ashling, the Extinguisher Avatar | {5}{U}{U} | 7 |  | 0
Lapse of Certainty | {1}{W} | 2 |  | 0
Barbed Sextant | {6}{B} | 7 |  | 0
Lapse of Certainty | {5} | 5 |  | 0
Jhoira of the Ghitu Avatar | {3} | 3 |  | 0
Artificer's Epiphany | {3}{W} | 4 |  | 0
Moonglove Extract | {2}{R}{R} | 4 |  | 0
Lapse of Certainty | {1}{W} | 2 |  | 0
Planeswalker's Favor | {1}{R}{G} | 3 |  | 0
Artificer's Epiphany | {U}{B} | 2 |  | 0
Lapse of Certainty | {4}{R} | 5 |  | 0
Death Stroke | {2}{R} | 3 |  | 0
Jhoira of the Ghitu Avatar | {4}{G} | 5 |  | 0
Peach Garden Oath | {2}{R} | 3 |  | 0
Moonglove Extract | {3} | 3 |  | 0
Lapse of Certainty | {2}{R}{R} | 4 |  | 0
Reality Anchor | {3}{R} | 4 |  | 0
Artificer's Epiphany | {2} | 2 |  | 0
Death Stroke | 1 | 1 |  | 0
Highland Lake | {1}{B}{B} | 3 |  | 0
